images,x_min,y_min,x_max,y_max,labels,scores
S_07_05_16_DSC00162.JPG,776.4593505859375,567.5142211914062,847.3259887695312,648.98681640625,2,0.9426284432411194
S_07_05_16_DSC00163.JPG,1049.5540771484375,2701.300048828125,1115.03076171875,2788.389404296875,2,0.9687812328338623
S_07_05_16_DSC00163.JPG,1277.474853515625,2760.83984375,1331.6517333984375,2834.19189453125,2,0.3941097557544708
S_07_05_16_DSC00307.JPG,3169.832763671875,-0.2617530822753906,3247.118408203125,33.44113540649414,1,0.8188416957855225
S_07_05_16_DSC00307.JPG,3433.956787109375,0.060906410217285156,3492.32470703125,21.972412109375,1,0.29305577278137207
S_07_05_16_DSC00307.JPG,3887.748291015625,312.2281799316406,3951.876220703125,363.3789978027344,4,0.44169285893440247
S_07_05_16_DSC00307.JPG,2461.880615234375,898.9441528320312,2482.138916015625,938.5405883789062,4,0.942926824092865
S_07_05_16_DSC00307.JPG,2459.810302734375,995.3489379882812,2497.517578125,1023.852294921875,4,0.9665879607200623
S_07_05_16_DSC00307.JPG,3230.04248046875,715.0225219726562,3286.003662109375,773.7222900390625,2,0.9255510568618774
S_07_05_16_DSC00307.JPG,3278.901123046875,536.4965209960938,3338.3505859375,613.048583984375,2,0.9564377069473267
S_07_05_16_DSC00307.JPG,3225.030517578125,776.2166137695312,3252.812255859375,816.7114868164062,2,0.901009738445282
S_07_05_16_DSC00307.JPG,3352.184814453125,535.4892578125,3410.95556640625,593.498291015625,2,0.6730883717536926
S_07_05_16_DSC00307.JPG,3437.447265625,512.2933959960938,3466.648681640625,528.308349609375,4,0.2884545624256134
S_07_05_16_DSC00307.JPG,2570.4375,1114.3536376953125,2614.9775390625,1137.494140625,4,0.44239792227745056
S_07_05_16_DSC00308.JPG,2620.99169921875,329.6185607910156,2680.462646484375,405.7429504394531,2,0.6152772903442383
S_07_05_16_DSC00308.JPG,2563.4091796875,304.87591552734375,2617.654296875,368.9102783203125,4,0.547807514667511
S_07_05_16_DSC00308.JPG,1926.062744140625,511.9898376464844,2002.474609375,563.0777587890625,4,0.8359225988388062
S_07_05_16_DSC00308.JPG,2182.76953125,621.77587890625,2228.953125,710.66552734375,2,0.9618104696273804
S_07_05_16_DSC00308.JPG,2252.001220703125,595.0415649414062,2296.50048828125,677.0010375976562,2,0.9306360483169556
S_07_05_16_DSC00308.JPG,3310.673095703125,835.785888671875,3346.212158203125,910.0123291015625,2,0.9451736211776733
S_07_05_16_DSC00308.JPG,3474.79736328125,985.0877685546875,3537.00927734375,1022.5836181640625,2,0.9471262097358704
S_07_05_16_DSC00308.JPG,3370.556396484375,980.7392578125,3402.054931640625,1023.4412841796875,4,0.37674468755722046
S_07_05_16_DSC00308.JPG,2334.030517578125,1378.6695556640625,2401.799560546875,1436.77490234375,2,0.9491660594940186
