"Step","stage1 - f1_score","stage1 - f1_score__MIN","stage1 - f1_score__MAX"
"1945","0.10800126502213789","0.10800126502213789","0.10800126502213789"
"3890","0.4808470881345375","0.4808470881345375","0.4808470881345375"
"5835","0.5974025974025974","0.5974025974025974","0.5974025974025974"
"7780","0.6952224052718287","0.6952224052718287","0.6952224052718287"
"9725","0.7704315886134069","0.7704315886134069","0.7704315886134069"
"11670","0.7190820229494261","0.7190820229494261","0.7190820229494261"
"13615","0.7577477084242689","0.7577477084242689","0.7577477084242689"
"15560","0.7517667844522967","0.7517667844522967","0.7517667844522967"
"17505","0.8049713193116634","0.8049713193116634","0.8049713193116634"
"19450","0.7727867422590492","0.7727867422590492","0.7727867422590492"
"21395","0.8183538315988648","0.8183538315988648","0.8183538315988648"
"23340","0.8116760828625236","0.8116760828625236","0.8116760828625236"
"25285","0.8483647175421208","0.8483647175421208","0.8483647175421208"
"27230","0.832688588007737","0.832688588007737","0.832688588007737"
"29175","0.8191741813004272","0.8191741813004272","0.8191741813004272"
"31120","0.8221686746987952","0.8221686746987952","0.8221686746987952"
"33065","0.8263002944062807","0.8263002944062807","0.8263002944062807"
"35010","0.8169149447381067","0.8169149447381067","0.8169149447381067"
"36955","0.8327678138633059","0.8327678138633059","0.8327678138633059"
"38900","0.8022232515053265","0.8022232515053265","0.8022232515053265"
"40845","0.7927765237020317","0.7927765237020317","0.7927765237020317"
"42790","0.8381046396841066","0.8381046396841066","0.8381046396841066"
"44735","0.8095238095238095","0.8095238095238095","0.8095238095238095"
"46680","0.837810945273632","0.837810945273632","0.837810945273632"
"48625","0.8559959859508278","0.8559959859508278","0.8559959859508278"
"50570","0.8517786561264822","0.8517786561264822","0.8517786561264822"
"52515","0.8615692153923039","0.8615692153923039","0.8615692153923039"
"54460","0.8645418326693227","0.8645418326693227","0.8645418326693227"
"56405","0.8638211382113822","0.8638211382113822","0.8638211382113822"
"58350","0.8645418326693227","0.8645418326693227","0.8645418326693227"
"60295","0.8661025385764062","0.8661025385764062","0.8661025385764062"
"62240","0.8727272727272728","0.8727272727272728","0.8727272727272728"
"64185","0.8825622775800712","0.8825622775800712","0.8825622775800712"
"66130","0.863773965691221","0.863773965691221","0.863773965691221"
"68075","0.8655207280080889","0.8655207280080889","0.8655207280080889"
"70020","0.8688193743693239","0.8688193743693239","0.8688193743693239"
"71965","0.8575682382133994","0.8575682382133994","0.8575682382133994"
"73910","0.8675298804780877","0.8675298804780877","0.8675298804780877"
"75855","0.8706240487062404","0.8706240487062404","0.8706240487062404"
"77800","0.8713272543059776","0.8713272543059776","0.8713272543059776"
"79745","0.8636588993554785","0.8636588993554785","0.8636588993554785"
"81690","0.8690835850956697","0.8690835850956697","0.8690835850956697"
"83635","0.8524262131065532","0.8524262131065532","0.8524262131065532"
"85580","0.864185110663984","0.864185110663984","0.864185110663984"
"87525","0.8673366834170855","0.8673366834170855","0.8673366834170855"
"89470","0.8698284561049445","0.8698284561049445","0.8698284561049445"
"91415","0.8700050581689428","0.8700050581689428","0.8700050581689428"
"93360","0.8684611477907567","0.8684611477907567","0.8684611477907567"
"95305","0.8694768918232605","0.8694768918232605","0.8694768918232605"
"97250","0.8678861788617886","0.8678861788617886","0.8678861788617886"
"99195","0.8697838109602815","0.8697838109602815","0.8697838109602815"
"101140","0.8630205720020071","0.8630205720020071","0.8630205720020071"
"103085","0.8666331152491192","0.8666331152491192","0.8666331152491192"
"105030","0.8669354838709677","0.8669354838709677","0.8669354838709677"
"106975","0.8666666666666667","0.8666666666666667","0.8666666666666667"
"108920","0.8702290076335878","0.8702290076335878","0.8702290076335878"
"110865","0.8657478305257784","0.8657478305257784","0.8657478305257784"
"112810","0.8642350557244173","0.8642350557244173","0.8642350557244173"
"114755","0.8614762386248735","0.8614762386248735","0.8614762386248735"
"116700","0.8700102354145341","0.8700102354145341","0.8700102354145341"
