images,x_min,y_min,x_max,y_max,labels,scores,x,y
S_07_05_16_DSC00094.JPG,874.484558105469,204.618804931641,910.643188476563,240.841827392578,2,0.541342675685883,892.563873291016,222.730316162109
S_07_05_16_DSC00094.JPG,2506.7724609375,180.930282592773,2545.37231445313,217.665908813477,1,0.947807610034943,2526.07238769531,199.298095703125
S_07_05_16_DSC00094.JPG,2895.26416015625,64.8992309570313,2933.751953125,100.034881591797,1,0.608631312847138,2914.50805664063,82.4670562744141
S_07_05_16_DSC00094.JPG,2560.85791015625,183.826293945313,2593.05493164063,222.469848632813,1,0.303766041994095,2576.95642089844,203.148071289063
S_07_05_16_DSC00094.JPG,3407.15893554688,415.184112548828,3447.22509765625,459.317047119141,1,0.937173247337341,3427.19201660156,437.250579833984
S_07_05_16_DSC00094.JPG,3184.81958007813,356.261352539063,3216.27563476563,394.364501953125,1,0.222885310649872,3200.54760742188,375.312927246094
S_07_05_16_DSC00094.JPG,3502.99853515625,304.199523925781,3527.12670898438,332.669250488281,1,0.13676942884922,3515.06262207031,318.434387207031
S_07_05_16_DSC00094.JPG,4073.94946289063,352.27587890625,4096.2333984375,396.743041992188,1,0.167391955852509,4085.09143066406,374.509460449219
S_07_05_16_DSC00094.JPG,5354.642578125,135.5361328125,5394.36962890625,166.283081054688,4,0.244519546627998,5374.50610351563,150.909606933594
S_07_05_16_DSC00094.JPG,288.929016113281,749.505554199219,339.979553222656,799.219909667969,2,0.900421261787415,314.454284667969,774.362731933594
S_07_05_16_DSC00094.JPG,2034.0654296875,671.52392578125,2048.21484375,710.462951660156,1,0.125899165868759,2041.14013671875,690.993438720703
S_07_05_16_DSC00094.JPG,2816.0625,891.13037109375,2862.91577148438,941.471862792969,1,0.614935994148254,2839.48913574219,916.301116943359
S_07_05_16_DSC00094.JPG,3962.4287109375,512.098266601563,3990.24877929688,538.026245117188,1,0.922928929328919,3976.33874511719,525.062255859375
S_07_05_16_DSC00094.JPG,4187.21826171875,512.140991210938,4250.71142578125,523.672546386719,4,0.111743338406086,4218.96484375,517.906768798828
S_07_05_16_DSC00094.JPG,4186.28857421875,511.887512207031,4242.0224609375,518.251647949219,4,0.102031074464321,4214.15551757813,515.069580078125
S_07_05_16_DSC00094.JPG,5831.53271484375,588.846984863281,5889.7421875,662.379638671875,3,0.967566967010498,5860.63745117188,625.613311767578
