,images,labels,scores,dscores,x,y,count_1,count_2,count_3,count_4,count_5,count_6
0,S_07_05_16_DSC00094.JPG,1,0.0309288017451763,0.0406989268958569,2524,202,4,0,0,0,0,1
1,S_07_05_16_DSC00094.JPG,1,0.366583615541458,0.124351777136326,2576,204,4,0,0,0,0,1
2,S_07_05_16_DSC00094.JPG,6,0.0614383779466152,0.132897585630417,3976,522,4,0,0,0,0,1
3,S_07_05_16_DSC00094.JPG,1,0.00169772142544389,0.0432934276759625,5856,624,4,0,0,0,0,1
4,S_07_05_16_DSC00094.JPG,1,0.114928930997849,0.0981932505965233,1236,1528,4,0,0,0,0,1
5,S_07_05_16_DSC00162.JPG,2,0.0600583180785179,0.10857355594635,808,606,2,2,0,0,0,0
6,S_07_05_16_DSC00162.JPG,2,0.531082391738892,0.225211828947067,1028,668,2,2,0,0,0,0
7,S_07_05_16_DSC00162.JPG,1,0.18889382481575,0.0931762754917145,462,1326,2,2,0,0,0,0
8,S_07_05_16_DSC00162.JPG,1,0.00259124487638474,0.107079140841961,4858,2578,2,2,0,0,0,0
9,S_07_05_16_DSC00163.JPG,1,0.982671678066254,0.275306820869446,2080,838,1,2,0,0,1,0
10,S_07_05_16_DSC00163.JPG,2,0.563935518264771,0.104754582047462,20,1606,1,2,0,0,1,0
11,S_07_05_16_DSC00163.JPG,5,0.000567261129617691,0.0867223739624023,224,1828,1,2,0,0,1,0
12,S_07_05_16_DSC00163.JPG,2,0.903516232967377,0.283769309520721,1086,2742,1,2,0,0,1,0
13,S_07_05_16_DSC00307.JPG,2,0.296848744153976,0.13461209833622,3214,2,1,4,0,7,0,0
14,S_07_05_16_DSC00307.JPG,1,0.874143898487091,0.254272907972336,3922,338,1,4,0,7,0,0
15,S_07_05_16_DSC00307.JPG,4,0.969589233398438,0.0838201567530632,3518,486,1,4,0,7,0,0
16,S_07_05_16_DSC00307.JPG,4,0.969589233398438,0.0876460447907448,3518,500,1,4,0,7,0,0
17,S_07_05_16_DSC00307.JPG,4,0.931418657302856,0.149508088827133,3456,504,1,4,0,7,0,0
18,S_07_05_16_DSC00307.JPG,2,0.882517457008362,0.209195896983147,3308,578,1,4,0,7,0,0
19,S_07_05_16_DSC00307.JPG,2,0.996532440185547,0.151244819164276,3254,744,1,4,0,7,0,0
20,S_07_05_16_DSC00307.JPG,2,0.997575104236603,0.276470869779587,3238,792,1,4,0,7,0,0
21,S_07_05_16_DSC00307.JPG,4,0.999762356281281,0.240524768829346,2470,918,1,4,0,7,0,0
22,S_07_05_16_DSC00307.JPG,4,0.998766183853149,0.120252840220928,2472,1008,1,4,0,7,0,0
23,S_07_05_16_DSC00307.JPG,4,0.998766183853149,0.200914546847343,2478,1010,1,4,0,7,0,0
24,S_07_05_16_DSC00307.JPG,4,0.727169334888458,0.16271761059761,2590,1124,1,4,0,7,0,0
25,S_07_05_16_DSC00308.JPG,2,0.980330765247345,0.287808507680893,2588,334,0,23,0,8,1,0
26,S_07_05_16_DSC00308.JPG,2,0.975070536136627,0.230355024337769,2648,370,0,23,0,8,1,0
27,S_07_05_16_DSC00308.JPG,2,0.949219882488251,0.177735045552254,1960,536,0,23,0,8,1,0
28,S_07_05_16_DSC00308.JPG,2,0.181789964437485,0.291611135005951,2274,638,0,23,0,8,1,0
29,S_07_05_16_DSC00308.JPG,2,0.0389667265117168,0.111876621842384,2212,658,0,23,0,8,1,0
30,S_07_05_16_DSC00308.JPG,2,0.80882865190506,0.209595799446106,3324,874,0,23,0,8,1,0
31,S_07_05_16_DSC00308.JPG,5,0.688215613365173,0.266050755977631,3382,1000,0,23,0,8,1,0
32,S_07_05_16_DSC00308.JPG,2,0.727891147136688,0.272180736064911,3504,1002,0,23,0,8,1,0
33,S_07_05_16_DSC00308.JPG,4,0.820766508579254,0.206599473953247,3730,1100,0,23,0,8,1,0
34,S_07_05_16_DSC00308.JPG,4,0.966941714286804,0.196543604135513,5566,1120,0,23,0,8,1,0
35,S_07_05_16_DSC00308.JPG,4,0.966941714286804,0.119149953126907,5560,1122,0,23,0,8,1,0
36,S_07_05_16_DSC00308.JPG,2,0.967754125595093,0.315581798553467,2288,1240,0,23,0,8,1,0
37,S_07_05_16_DSC00308.JPG,2,0.988296210765839,0.195726379752159,3808,1240,0,23,0,8,1,0
38,S_07_05_16_DSC00308.JPG,2,0.965067625045776,0.193604320287704,3664,1250,0,23,0,8,1,0
39,S_07_05_16_DSC00308.JPG,2,0.996477067470551,0.298425793647766,2756,1310,0,23,0,8,1,0
40,S_07_05_16_DSC00308.JPG,2,0.984072506427765,0.16707518696785,3536,1344,0,23,0,8,1,0
41,S_07_05_16_DSC00308.JPG,2,0.725663125514984,0.179604351520538,2362,1410,0,23,0,8,1,0
42,S_07_05_16_DSC00308.JPG,2,0.99724268913269,0.239426910877228,2766,1440,0,23,0,8,1,0
43,S_07_05_16_DSC00308.JPG,2,0.979432106018066,0.279723763465881,3358,1476,0,23,0,8,1,0
44,S_07_05_16_DSC00308.JPG,2,0.993441104888916,0.246331244707108,2904,1486,0,23,0,8,1,0
45,S_07_05_16_DSC00308.JPG,2,0.706047415733337,0.181872665882111,2056,1596,0,23,0,8,1,0
46,S_07_05_16_DSC00308.JPG,2,0.754507899284363,0.298899292945862,2898,1598,0,23,0,8,1,0
47,S_07_05_16_DSC00308.JPG,2,0.979304432868958,0.290076017379761,2990,1646,0,23,0,8,1,0
48,S_07_05_16_DSC00308.JPG,4,0.945167660713196,0.247002527117729,3816,1820,0,23,0,8,1,0
49,S_07_05_16_DSC00308.JPG,2,0.275599718093872,0.141405060887337,3266,2118,0,23,0,8,1,0
50,S_07_05_16_DSC00308.JPG,2,0.986765503883362,0.279482752084732,3202,2166,0,23,0,8,1,0
51,S_07_05_16_DSC00308.JPG,2,0.539251089096069,0.179347157478333,3132,2186,0,23,0,8,1,0
52,S_07_05_16_DSC00308.JPG,2,0.950462460517883,0.307874739170074,3084,2364,0,23,0,8,1,0
53,S_07_05_16_DSC00308.JPG,4,0.926043152809143,0.319336622953415,3074,2408,0,23,0,8,1,0
54,S_07_05_16_DSC00308.JPG,4,0.988788187503815,0.30204176902771,2328,2558,0,23,0,8,1,0
55,S_07_05_16_DSC00308.JPG,4,0.99968421459198,0.227555856108665,2342,2642,0,23,0,8,1,0
56,S_07_05_16_DSC00308.JPG,4,0.187190234661102,0.156600698828697,3722,3286,0,23,0,8,1,0
57,S_07_05_16_DSC00309.JPG,2,0.999648451805115,0.273589581251144,1644,550,1,24,0,5,1,0
58,S_07_05_16_DSC00309.JPG,2,0.982531487941742,0.277321994304657,1732,692,1,24,0,5,1,0
59,S_07_05_16_DSC00309.JPG,2,0.428330898284912,0.171318769454956,1690,1168,1,24,0,5,1,0
60,S_07_05_16_DSC00309.JPG,2,0.97977340221405,0.356163680553436,1976,1262,1,24,0,5,1,0
61,S_07_05_16_DSC00309.JPG,2,0.998807191848755,0.373722791671753,3078,1348,1,24,0,5,1,0
62,S_07_05_16_DSC00309.JPG,2,0.976898491382599,0.286902368068695,1946,1390,1,24,0,5,1,0
63,S_07_05_16_DSC00309.JPG,2,0.986296892166138,0.251297920942307,2996,1426,1,24,0,5,1,0
64,S_07_05_16_DSC00309.JPG,2,0.998507678508759,0.313263982534409,2670,1588,1,24,0,5,1,0
65,S_07_05_16_DSC00309.JPG,4,0.999656796455383,0.272354900836945,2854,1686,1,24,0,5,1,0
66,S_07_05_16_DSC00309.JPG,2,0.998476684093475,0.198045939207077,2138,1774,1,24,0,5,1,0
67,S_07_05_16_DSC00309.JPG,2,0.999989032745361,0.354364544153214,2310,2168,1,24,0,5,1,0
68,S_07_05_16_DSC00309.JPG,2,0.97083592414856,0.272575736045837,2412,2210,1,24,0,5,1,0
69,S_07_05_16_DSC00309.JPG,2,0.987144291400909,0.172331601381302,2140,2480,1,24,0,5,1,0
70,S_07_05_16_DSC00309.JPG,2,0.997863352298737,0.254801362752914,1812,2502,1,24,0,5,1,0
71,S_07_05_16_DSC00309.JPG,2,0.202259764075279,0.163752377033234,2070,2608,1,24,0,5,1,0
72,S_07_05_16_DSC00309.JPG,2,0.998487591743469,0.244435653090477,3174,2756,1,24,0,5,1,0
73,S_07_05_16_DSC00309.JPG,4,0.822953581809998,0.183295726776123,5662,2838,1,24,0,5,1,0
74,S_07_05_16_DSC00309.JPG,4,0.938185751438141,0.264768272638321,3242,2880,1,24,0,5,1,0
75,S_07_05_16_DSC00309.JPG,2,0.991521596908569,0.18754917383194,3672,3086,1,24,0,5,1,0
76,S_07_05_16_DSC00309.JPG,2,0.983796536922455,0.198267892003059,3534,3106,1,24,0,5,1,0
77,S_07_05_16_DSC00309.JPG,2,0.993339717388153,0.270163297653198,2188,3154,1,24,0,5,1,0
78,S_07_05_16_DSC00309.JPG,2,0.989373028278351,0.261331737041473,2650,3202,1,24,0,5,1,0
79,S_07_05_16_DSC00309.JPG,2,0.984993815422058,0.233443021774292,3418,3202,1,24,0,5,1,0
80,S_07_05_16_DSC00309.JPG,2,0.980532109737396,0.285766005516052,2334,3244,1,24,0,5,1,0
81,S_07_05_16_DSC00309.JPG,5,0.49242502450943,0.187652096152306,3288,3302,1,24,0,5,1,0
82,S_07_05_16_DSC00309.JPG,2,0.968371152877808,0.240499302744865,2672,3320,1,24,0,5,1,0
83,S_07_05_16_DSC00309.JPG,1,0.13521620631218,0.206406950950623,2812,3468,1,24,0,5,1,0
84,S_07_05_16_DSC00309.JPG,2,0.01589166931808,0.141310900449753,2902,3506,1,24,0,5,1,0
85,S_07_05_16_DSC00309.JPG,4,0.981047570705414,0.172400593757629,3702,3526,1,24,0,5,1,0
86,S_07_05_16_DSC00309.JPG,4,0.881201565265656,0.187922716140747,3208,3922,1,24,0,5,1,0
87,S_07_05_16_DSC00309.JPG,2,0.201339319348335,0.211584359407425,3150,3970,1,24,0,5,1,0
88,S_07_05_16_DSC00310.JPG,2,0.972292482852936,0.261593461036682,1342,2844,0,7,0,0,0,0
89,S_07_05_16_DSC00310.JPG,2,0.971520662307739,0.159649163484573,1434,2966,0,7,0,0,0,0
90,S_07_05_16_DSC00310.JPG,2,0.962171018123627,0.302480459213257,1474,3502,0,7,0,0,0,0
91,S_07_05_16_DSC00310.JPG,2,0.997836530208588,0.27986091375351,1722,3596,0,7,0,0,0,0
92,S_07_05_16_DSC00310.JPG,2,0.992976367473602,0.306116610765457,1754,3750,0,7,0,0,0,0
93,S_07_05_16_DSC00310.JPG,2,0.783403635025024,0.283859670162201,2830,3808,0,7,0,0,0,0
94,S_07_05_16_DSC00310.JPG,2,0.991802871227264,0.256340324878693,2764,3840,0,7,0,0,0,0
95,S_07_05_16_DSC00346.JPG,3,0.968436896800995,0.262824773788452,280,1164,0,0,1,0,0,0
96,S_07_05_16_DSC00347.JPG,3,0.9966721534729,0.297934889793396,566,2374,0,0,1,0,0,0
97,S_07_05_16_DSC00348.JPG,3,0.975046157836914,0.258346050977707,842,3606,0,0,1,0,0,0
98,S_07_05_16_DSC00365.JPG,4,0.998333632946014,0.243726044893265,3336,1344,0,0,0,1,0,0
99,S_07_05_16_DSC00366.JPG,4,0.989017009735107,0.152766704559326,3742,2818,0,0,0,1,0,0
100,S_07_05_16_DSC00371.JPG,3,0.996218860149384,0.285519510507584,2704,1384,0,0,1,0,0,0
101,S_07_05_16_DSC00372.JPG,3,0.998297393321991,0.314247936010361,2744,154,0,0,7,4,0,0
102,S_07_05_16_DSC00372.JPG,3,0.966882765293121,0.324642598628998,260,260,0,0,7,4,0,0
103,S_07_05_16_DSC00372.JPG,3,0.99986207485199,0.281251847743988,3046,844,0,0,7,4,0,0
104,S_07_05_16_DSC00372.JPG,3,0.999188005924225,0.250641077756882,2564,1656,0,0,7,4,0,0
105,S_07_05_16_DSC00372.JPG,3,0.861297428607941,0.186077326536179,1918,1978,0,0,7,4,0,0
106,S_07_05_16_DSC00372.JPG,3,0.972436845302582,0.190465182065964,1922,2120,0,0,7,4,0,0
107,S_07_05_16_DSC00372.JPG,4,0.86744886636734,0.219708502292633,3680,2414,0,0,7,4,0,0
108,S_07_05_16_DSC00372.JPG,4,0.0184123553335667,0.10820235311985,5068,3086,0,0,7,4,0,0
109,S_07_05_16_DSC00372.JPG,4,0.998371064662933,0.239671170711517,4038,3172,0,0,7,4,0,0
110,S_07_05_16_DSC00372.JPG,4,0.993288576602936,0.128964260220528,4018,3184,0,0,7,4,0,0
111,S_07_05_16_DSC00372.JPG,3,0.997828185558319,0.233076095581055,2910,3818,0,0,7,4,0,0
112,S_07_05_16_DSC00373.JPG,1,0.999745070934296,0.247939646244049,1168,1512,2,0,7,0,0,0
113,S_07_05_16_DSC00373.JPG,3,0.704141318798065,0.306449800729752,1238,1568,2,0,7,0,0,0
114,S_07_05_16_DSC00373.JPG,1,0.99353688955307,0.303730458021164,1080,1584,2,0,7,0,0,0
115,S_07_05_16_DSC00373.JPG,3,0.98688554763794,0.324062913656235,1272,1622,2,0,7,0,0,0
116,S_07_05_16_DSC00373.JPG,3,0.998948514461517,0.229001089930534,3316,2136,2,0,7,0,0,0
117,S_07_05_16_DSC00373.JPG,3,0.990621089935303,0.281508654356003,926,2266,2,0,7,0,0,0
118,S_07_05_16_DSC00373.JPG,3,0.999216675758362,0.24569895863533,3610,2872,2,0,7,0,0,0
119,S_07_05_16_DSC00373.JPG,3,0.99957674741745,0.256144762039185,3184,3558,2,0,7,0,0,0
120,S_07_05_16_DSC00373.JPG,3,0.998398840427399,0.286145865917206,2476,3986,2,0,7,0,0,0
121,S_07_05_16_DSC00374.JPG,4,0.98973959684372,0.129401937127113,3328,144,4,0,4,3,0,0
122,S_07_05_16_DSC00374.JPG,4,0.984007179737091,0.236967831850052,3330,162,4,0,4,3,0,0
123,S_07_05_16_DSC00374.JPG,3,0.985763847827911,0.309877544641495,4450,262,4,0,4,3,0,0
124,S_07_05_16_DSC00374.JPG,3,0.614108920097351,0.2261803150177,4224,434,4,0,4,3,0,0
125,S_07_05_16_DSC00374.JPG,4,0.851228475570679,0.133510455489159,5082,538,4,0,4,3,0,0
126,S_07_05_16_DSC00374.JPG,1,0.996757924556732,0.33952534198761,1484,3112,4,0,4,3,0,0
127,S_07_05_16_DSC00374.JPG,1,0.986404538154602,0.223849892616272,1550,3170,4,0,4,3,0,0
128,S_07_05_16_DSC00374.JPG,1,0.994817316532135,0.246018290519714,1390,3178,4,0,4,3,0,0
129,S_07_05_16_DSC00374.JPG,1,0.99292266368866,0.234755039215088,1582,3224,4,0,4,3,0,0
130,S_07_05_16_DSC00374.JPG,3,0.998936235904694,0.266310781240463,3630,3856,4,0,4,3,0,0
131,S_07_05_16_DSC00374.JPG,3,0.997941434383392,0.245178386569023,1234,3862,4,0,4,3,0,0
132,S_07_05_16_DSC00375.JPG,4,0.999813139438629,0.220702290534973,3702,1726,0,0,4,2,1,0
133,S_07_05_16_DSC00375.JPG,4,0.999752342700958,0.156352400779724,3702,1732,0,0,4,2,1,0
134,S_07_05_16_DSC00375.JPG,5,0.733674705028534,0.352652430534363,3694,1946,0,0,4,2,1,0
135,S_07_05_16_DSC00375.JPG,3,0.999285757541657,0.340783596038818,4746,2286,0,0,4,2,1,0
136,S_07_05_16_DSC00375.JPG,3,0.996231973171234,0.258376151323319,4522,2462,0,0,4,2,1,0
137,S_07_05_16_DSC00375.JPG,3,0.930012464523315,0.109472952783108,4524,2472,0,0,4,2,1,0
138,S_07_05_16_DSC00375.JPG,3,0.65289980173111,0.301857024431229,92,2718,0,0,4,2,1,0
139,S_07_05_16_DSC00376.JPG,3,0.99722820520401,0.238217175006866,1064,934,2,0,2,2,0,0
140,S_07_05_16_DSC00376.JPG,4,0.999171733856201,0.280723094940186,4064,3282,2,0,2,2,0,0
141,S_07_05_16_DSC00376.JPG,4,0.997485876083374,0.267200171947479,4076,3502,2,0,2,2,0,0
142,S_07_05_16_DSC00376.JPG,1,0.945869445800781,0.276358753442764,4012,3734,2,0,2,2,0,0
143,S_07_05_16_DSC00376.JPG,3,0.997063934803009,0.293709337711334,5158,3756,2,0,2,2,0,0
144,S_07_05_16_DSC00376.JPG,1,0.866421759128571,0.225847646594048,4950,3946,2,0,2,2,0,0
145,S_07_05_16_DSC00377.JPG,3,0.992814362049103,0.295437783002853,3996,438,6,0,4,0,0,0
146,S_07_05_16_DSC00377.JPG,3,0.999828815460205,0.323026776313782,2698,444,6,0,4,0,0,0
147,S_07_05_16_DSC00377.JPG,3,0.996539235115051,0.191642910242081,2268,550,6,0,4,0,0,0
148,S_07_05_16_DSC00377.JPG,1,0.999212145805359,0.317566096782684,4350,688,6,0,4,0,0,0
