images,labels,scores,dscores,x,y,count_1,count_2,count_3,count_4,count_5,count_6
S_07_05_16_DSC00094.JPG,2.0,0.04810476303100586,0.07269074022769928,2576.0,204.0,0,1,1,0,0,0
S_07_05_16_DSC00094.JPG,3.0,0.0026006982661783695,0.13437128067016602,3974.0,522.0,0,1,1,0,0,0
S_07_05_16_DSC00162.JPG,2.0,0.8461995720863342,0.13543403148651123,810.0,606.0,1,2,0,0,0,0
S_07_05_16_DSC00162.JPG,2.0,0.136151522397995,0.10751914978027344,1022.0,670.0,1,2,0,0,0,0
S_07_05_16_DSC00162.JPG,1.0,0.27147892117500305,0.09680715203285217,2116.0,2308.0,1,2,0,0,0,0
S_07_05_16_DSC00163.JPG,1.0,0.8266443014144897,0.1891365945339203,2082.0,842.0,1,2,0,0,0,0
S_07_05_16_DSC00163.JPG,2.0,0.7596359848976135,0.06598667055368423,198.0,1966.0,1,2,0,0,0,0
S_07_05_16_DSC00163.JPG,2.0,0.9240422248840332,0.1978675276041031,1084.0,2744.0,1,2,0,0,0,0
S_07_05_16_DSC00307.JPG,2.0,0.9986264705657959,0.22070065140724182,3206.0,4.0,1,4,0,6,0,0
S_07_05_16_DSC00307.JPG,1.0,0.62178635597229,0.2621533274650574,3920.0,336.0,1,4,0,6,0,0
S_07_05_16_DSC00307.JPG,4.0,0.4845767617225647,0.08148401975631714,3904.0,352.0,1,4,0,6,0,0
S_07_05_16_DSC00307.JPG,4.0,0.9993770718574524,0.24203288555145264,3516.0,494.0,1,4,0,6,0,0
S_07_05_16_DSC00307.JPG,4.0,0.24387986958026886,0.15803253650665283,3454.0,506.0,1,4,0,6,0,0
S_07_05_16_DSC00307.JPG,2.0,0.6443283557891846,0.10487279295921326,3314.0,572.0,1,4,0,6,0,0
S_07_05_16_DSC00307.JPG,2.0,0.871974766254425,0.18704324960708618,3256.0,744.0,1,4,0,6,0,0
S_07_05_16_DSC00307.JPG,2.0,0.9745117425918579,0.20956872403621674,3238.0,792.0,1,4,0,6,0,0
S_07_05_16_DSC00307.JPG,4.0,0.9897987842559814,0.2195475846529007,2470.0,918.0,1,4,0,6,0,0
S_07_05_16_DSC00307.JPG,4.0,0.9983195662498474,0.20978614687919617,2478.0,1010.0,1,4,0,6,0,0
S_07_05_16_DSC00307.JPG,4.0,0.919632613658905,0.17841534316539764,2588.0,1124.0,1,4,0,6,0,0
S_07_05_16_DSC00308.JPG,2.0,0.9874250292778015,0.23249496519565582,2634.0,332.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.9822194576263428,0.1907419115304947,2590.0,336.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.9228698015213013,0.20041301846504211,2650.0,366.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.9983683228492737,0.20738288760185242,1958.0,540.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.7663770914077759,0.14260780811309814,2272.0,636.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.47058624029159546,0.13686516880989075,2208.0,660.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.9565855860710144,0.1949705183506012,3326.0,872.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,5.0,0.970551073551178,0.22511601448059082,3384.0,1000.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.9919747710227966,0.2415989190340042,3506.0,1004.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,4.0,0.4094972312450409,0.10283463448286057,5966.0,1034.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,4.0,0.950484037399292,0.307997465133667,3732.0,1098.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,4.0,0.9831695556640625,0.1731005609035492,5568.0,1120.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.9989818930625916,0.2812078297138214,3806.0,1236.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.9988250136375427,0.26733842492103577,2286.0,1240.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.9943410158157349,0.1954348385334015,3666.0,1250.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,4.0,0.47339367866516113,0.2564142346382141,2750.0,1310.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.9997677206993103,0.2153107225894928,3540.0,1344.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,4.0,0.9040417671203613,0.22928696870803833,2364.0,1406.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.9997861981391907,0.24553446471691132,2766.0,1440.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.9581872224807739,0.284095823764801,3358.0,1478.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.9968109726905823,0.2721232771873474,2906.0,1486.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.814474880695343,0.23124393820762634,2898.0,1600.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,5.0,0.9383985996246338,0.20378629863262177,2994.0,1648.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.5948755145072937,0.2830883860588074,3816.0,1818.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,6.0,0.42105627059936523,0.17344018816947937,3372.0,2114.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.6923296451568604,0.1207319125533104,3268.0,2120.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.9982861876487732,0.28027182817459106,3202.0,2168.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.9526998400688171,0.20787346363067627,3086.0,2364.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,2.0,0.8555593490600586,0.22118407487869263,3076.0,2408.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,4.0,0.6014460325241089,0.2669917345046997,2330.0,2558.0,0,21,0,7,2,1
S_07_05_16_DSC00308.JPG,4.0,0.9977889060974121,0.2879723012447357,2344.0,2642.0,0,21,0,7,2,1
S_07_05_16_DSC00309.JPG,2.0,0.9997102618217468,0.25420933961868286,1646.0,552.0,1,24,1,6,1,0
S_07_05_16_DSC00309.JPG,2.0,0.9044923782348633,0.15362820029258728,1732.0,692.0,1,24,1,6,1,0
S_07_05_16_DSC00309.JPG,2.0,0.9686620831489563,0.23543381690979004,1692.0,1164.0,1,24,1,6,1,0
